brand;categoria;denominazione;codice_listino;prezzo_listino;prezzo_codice;tipo;note
ARIEL;CLIMATIZZATORI;FALCON MONO 9000BTU;00.02.95.0;3750;2750;prodotto;Solo APRILE — valido fino al 30/04/2026 (escluso dal 1 maggio)
ARIEL;CLIMATIZZATORI;FALCON MONO PLUS 9000BTU;00.02.95.0;3950;2950;prodotto;Solo listino APRILE 2026 — affiancato al MONO senza PLUS
